Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:32:20

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
                   |              | 28:59              | 0.00        
                   |              | 28:59              | 1.00        
                   |              | 29:00              | 0.00        
                   |              | 29:00              | 1.00        
                   |              | 29:00              | 1.00        
                   |              | 29:00              | 2.00        
                   |              | 29:00              | 2.00        
                   |              | 29:00              | 3.00        
                   |              | 29:00              | 3.00        
                   |              | 29:00              | 4.00        
                   |              | 29:00              | 4.00        
                   |              | 29:00              | 5.00        
                   |              | 29:00              | 5.00        
                   |              | 29:01              | 6.00        
                   |              | 29:01              | 6.00        
                   |              | 29:01              | 7.00        
                   |              | 29:03              | 6.00        
                   |              | 29:03              | 6.00        
                   |              | 29:05              | 5.00        
                   |              | 29:05              | 5.00        
                   |              | 29:05              | 4.00        
                   |              | 29:05              | 4.00        
                   |              | 29:05              | 3.00        
                   |              | 29:05              | 3.00        
                   |              | 29:05              | 2.00        
                   |              | 29:05              | 2.00        
                   |              | 29:06              | 1.00        
                   |              | 29:06              | 1.00        
                   |              | 29:06              | 0.00        
                   |              | 29:06              | 0.00        
                   |              | 29:06              | 1.00        
                   |              | 29:06              | 1.00        
                   |              | 29:08              | 0.00        
                   |              | 29:08              | 0.00        
                   |              | 29:13              | 1.00        
                   |              | 29:13              | 1.00        
                   |              | 29:13              | 0.00        
                   |              | 29:14              | 1.00        
                   |              | 29:14              | 1.00        
                   |              | 29:14              | 1.00        
                   |              | 29:14              | 2.00        
                   |              | 29:14              | 2.00        
                   |              | 29:15              | 1.00        
                   |              | 29:15              | 1.00        
                   |              | 29:15              | 0.00        
                   |              | 29:16              | 0.00        
                   |              | 29:16              | 1.00        
                   |              | 29:16              | 1.00        
                   |              | 29:16              | 2.00        
                   |              | 29:16              | 3.00        
                   |              | 29:17              | 2.00        
                   |              | 29:17              | 3.00        
                   |              | 29:17              | 2.00        
                   |              | 29:17              | 2.00        
                   |              | 29:17              | 1.00        
                   |              | 29:18              | 1.00        
                   |              | 29:18              | 2.00        
                   |              | 29:18              | 2.00        
                   |              | 29:18              | 1.00        
                   |              | 29:18              | 0.00        
                   |              | 29:18              | 0.00        
                   |              | 29:18              | 1.00        
                   |              | 29:19              | 2.00        
                   |              | 29:19              | 2.00        
                   |              | 29:19              | 3.00        
                   |              | 29:19              | 4.00        
                   |              | 29:19              | 4.00        
                   |              | 29:19              | 5.00        
                   |              | 29:19              | 6.00        
                   |              | 29:20              | 7.00        
                   |              | 29:20              | 6.00        
                   |              | 29:20              | 7.00        
                   |              | 29:20              | 6.00        
                   |              | 29:20              | 9.00        
                   |              | 29:20              | 9.00        
                   |              | 29:20              | 8.00        
                   |              | 29:20              | 8.00        
                   |              | 29:21              | 7.00        
                   |              | 29:21              | 7.00        
                   |              | 29:21              | 6.00        
                   |              | 29:21              | 6.00        
                   |              | 29:21              | 3.00        
                   |              | 29:21              | 0.00        
                   |              | 29:21              | 1.00        
                   |              | 29:21              | 1.00        
                   |              | 29:21              | 2.00        
                   |              | 29:21              | 2.00        
                   |              | 29:21              | 0.00        
                   |              | 29:21              | 1.00        
                   |              | 29:21              | 1.00        
                   |              | 29:22              | 2.00        
                   |              | 29:22              | 4.00        
                   |              | 29:22              | 4.00        
                   |              | 29:22              | 6.00        
                   |              | 29:23              | 7.00        
                   |              | 29:23              | 7.00        
                   |              | 29:23              | 6.00        
                   |              | 29:23              | 6.00        
                   |              | 29:23              | 3.00        
                   |              | 29:24              | 4.00        
                   |              | 29:24              | 5.00        
                   |              | 29:24              | 5.00        
                   |              | 29:24              | 2.00        
                   |              | 29:24              | 2.00        
                   |              | 29:24              | 3.00        
                   |              | 29:24              | 1.00        
                   |              | 29:24              | 2.00        
                   |              | 29:25              | 6.00        
                   |              | 29:25              | 7.00        
                   |              | 29:25              | 7.00        
                   |              | 29:25              | 8.00        
                   |              | 29:25              | 8.00        
                   |              | 29:25              | 9.00        
                   |              | 29:25              | 8.00        
                   |              | 29:25              | 8.00        
                   |              | 29:26              | 7.00        
                   |              | 29:26              | 6.00        
                   |              | 29:26              | 7.00        
                   |              | 29:26              | 10.00       
                   |              | 29:26              | 10.00       
                   |              | 29:27              | 9.00        
                   |              | 29:27              | 9.00        
                   |              | 29:27              | 8.00        
                   |              | 29:27              | 7.00        
                   |              | 29:27              | 7.00        
                   |              | 29:28              | 8.00        
                   |              | 29:28              | 8.00        
                   |              | 29:29              | 7.00        
                   |              | 29:29              | 7.00        
                   |              | 29:29              | 6.00        
                   |              | 29:30              | 6.00        
                   |              | 29:30              | 7.00        
                   |              | 29:30              | 7.00        
                   |              | 29:30              | 6.00        
                   |              | 29:30              | 7.00        
                   |              | 29:31              | 7.00        
                   |              | 29:31              | 6.00        
                   |              | 29:31              | 6.00        
                   |              | 29:31              | 5.00        
                   |              | 29:31              | 4.00        
                   |              | 29:31              | 4.00        
                   |              | 29:31              | 3.00        
                   |              | 29:32              | 3.00        
                   |              | 29:32              | 4.00        
                   |              | 29:32              | 4.00        
                   |              | 29:32              | 5.00        
                   |              | 29:32              | 5.00        
                   |              | 29:33              | 4.00        
                   |              | 29:33              | 3.00        
                   |              | 29:33              | 3.00        
                   |              | 29:33              | 1.00        
                   |              | 29:33              | 1.00        
                   |              | 29:33              | 2.00        
                   |              | 29:33              | 2.00        
